Solicito retirada da grade do gerador de 155 kVA para que o mesmo seja transportado para o Campus Sosigenes Costa
Solicito instalação de faixa na portaria do campus. A faixa foi entregue ao encarregado Rodrigo.
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"Solicito vistoria nas instalações hidrossanitárias de acordo ao documento em anexo. Após tarefa, a UFSB deverá ser informada sobre a necessidade de manutenções preventivas ou corretivas."
"O forro da sala de entrada na biblioteca estava caído quando cheguei hoje (01/07) ... colocamos no lugar, mas necessita manutenção ou troca.
Att,
Rafael Lima"
"Solicito acompanhamento do gerador de 155 kVA do Pavilhão de Aulas do Campus Jorge Amado conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 55 kVA do Campus Paulo Freire conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 155 kVA do Campus Paulo Freire conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 170 kVA do Campus Sosigenes Costa conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 55 kVA da Reitoria do Campus Jorge Amado conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito manutenção preventiva semestral do gerador de 170 kVA do Campus Sosígenes Costa conforme documento em anexo. Favor seguir roteiro conforme Anexo II, pág. 06 e 07.

Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
