Modelo,RMSE_Médio_CV,RMSE_DesvPad_CV,N_Folds,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Interpretação
ARIMA,46.34,14.34,3,64.61,29.59,44.81,,,Alta variância (modelo sensível ao período de treino)
SARIMAX-12,34.83,19.69,3,60.82,13.18,30.48,,,Alta variância (modelo sensível ao período de treino)
Holt-Winters,36.16,16.67,3,57.81,17.25,33.44,,,Alta variância (modelo sensível ao período de treino)
Theta,34.43,16.34,3,55.33,15.44,32.51,,,Alta variância (modelo sensível ao período de treino)
Naive_Sazonal,33.34,10.56,3,48.05,28.25,23.73,,,Alta variância (modelo sensível ao período de treino)
Drift,54.11,22.11,3,84.37,32.18,45.79,,,Alta variância (modelo sensível ao período de treino)
,,,,,,,,,
Validação Rolling-Origin com 3 folds × 12 meses cada. Compara robustez relativa entre modelos sob diferentes janelas de treino.,,,,,,,,,
