ID Chamado,TÍTULO,CATEGORIA COMPLETA,,,
3437,REPAROS E AJUSTES NA BIBLIOTECA UFSB,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
3441,Manutenção de Ar Condicionado,Climatização > Ar condicionado,,,
3446,Extensões,Elétrica > Instalações elétricas,,,
3454,Tombo do CPU:   Trocar um quadro de lugar na sala.  Grato,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
3485,"Reparar tomada de Renata Maciel, apresentando mau contanto.",Elétrica > Instalações elétricas,,,
3503,Ar condicionado ligado direto,Climatização > Ar condicionado,,,
3525,Tombo do CPU:   Instalar uma tomada para um servidor inciar os trabalh,Elétrica > Instalações elétricas,,,
3526,Tombo do CPU:   Instalação de Televisão.,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
3555,Instalação de nobreak na sala dos servidores,Elétrica > Nobreak,,,
3596,Solicitamos serviço de instalação de quadro branco na diretoria de ens,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
3610,Ajustes instalação elétrica,Elétrica > Iluminação,,,
3615,Instalação de TV e Quadros na parede da PROGEAC,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
3626,INSTALAÇÃO DE MEDIDOR DE ENERGIA ELÉTRICA,Elétrica > Instalações elétricas,,,
3631,Remoção de quadro branco da DSAA para DEA.,Projetos e Reformas > Reforma,,,
3676,Instalação de mais tomadas,Elétrica > Instalações elétricas,,,
3730,Instalação de Quadros Brancos nas dependencias da UFSB/CJA,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
3734,Substituição de 2 lâmpadas da sala do reitor.,Elétrica > Iluminação,,,
3796,Instalação de 2 pontos de elétrica adicionais na PROGEAC.,Elétrica > Instalações elétricas,,,
3810,Peço a gentileza de colocação de persiana e conserto de uma outra na s,Suprimentos / Apoio Técnico > Materiais,,,
3827,Tombo do CPU:   Solicito instalação elétrica no antigo almoxarifado.,Elétrica > Instalações elétricas,,,
3841,MANUTENÇÃO,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
3843,MANUTENÇÃO ELETRICA DEPÓSITO PATRIMONIO,Elétrica > Iluminação,,,
3850,Solicitação de pontos de energia,Elétrica > Instalações elétricas,,,
3851,Troca das fechaduras,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
3880,Solicito a instalação do quadro na sala de aula 03 do pavilhão da reit,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
3897,"Tombo do CPU:   Prezados, A coordenação de campus enviará dois quadros",Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
3920,Cabo de Telefonia.,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
3923,Reposição de lâmpada na sala da Diretoria de Assuntos Comunitários e E,Elétrica > Iluminação,,,
3934,Tombo do CPU:   Solicitamos em caráter de urgência a instalação de 06,Elétrica > Instalações elétricas,,,
3938,Ar condicionado não não refrigera o suficiente e torna dificultosa permanência durante um longo período,Climatização > Ar condicionado,,,
3948,Instalação de linha.,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
3958,Tombo do CPU: 947879 Um dos ventiladores instalados nesta terça na sal,Outros > Erro de chamado,,,
3998,solicitamos pintura em paredes da PROGEAC,Projetos e Reformas > Reforma,,,
4002,Instalação do Extitor CO2 Estudio de Idiomas,"Segurança contra Incêndio > Sistemas de combate a incêndio (extintores, hidrantes)",,,
4008,Mau cheiro constante no banheiro feminino do Campus Jorge Amado.,Hidrossanitária > Hidráulica,,,
4011,Instalar aparelho de ar condicionado na sala 3 da reitoria.,Climatização > Ar condicionado,,,
4038,Solicito a revisão em tomadas no CUNI de Ilhéus.,Elétrica > Instalações elétricas,,,
4040,Ár condicionado sem funcionar,Climatização > Ar condicionado,,,
4050,"Referente à solicitação de pintura da PROGEAC, solicitamos pintura nas",Projetos e Reformas > Reforma,,,
4078,"Prezado Carlos,  Solicitamos a estruturação da segunda sala de aula do",TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
4080,Tombo do CPU:   Solicitação de uma placa para o laboratório de línguas,Suprimentos / Apoio Técnico > Materiais,,,
4095,"Solicito reparo para a porta de vidro da PRO-REITORIA da PROTIC, quand","Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4104,Substituição de lampadas,Elétrica > Iluminação,,,
4144,"Tombo do CPU: O cabo HDMI estava instalado em um computador, mas o com",TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
4181,Reparos na porta da DGP,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4190,Instalação quadro avisos,Suprimentos / Apoio Técnico > Materiais,,,
4218,Substituição das luminárias do auditório,Elétrica > Iluminação,,,
4240,Tombo do CPU:   Solicito gentilmente que sejam criadas três placas de,Suprimentos / Apoio Técnico > Materiais,,,
4276,Manutenção de cortinas,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4283,TROCA DE QUADRO BRANCO DE SETORES,Suprimentos / Apoio Técnico > Materiais,,,
4294,Tombo do CPU:  Solicito instalação de ponto de tomada elétrica para o,Elétrica > Instalações elétricas,,,
4308,Porto de Lógica,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
4319,Solicito a verificação da fechadura da sala de aula 07 do pavilhão de,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4347,Relocação de porta,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4365,"Senhores,  Conforme solicitação do corpo acadêmico do CUNI Ilhéus - CM",Manutenção Preventiva > Vistoria em Instalações,,,
4376,Queda de energia,Elétrica > Instalações elétricas,,,
4407,Adaptador para TV,Elétrica > Instalações elétricas,,,
4411,Tombo do CPU:   O Cuni de Itabuna está com problemas hidráulicos e elé,Manutenção Preventiva > Vistoria em Instalações,,,
4412,Tombo do CPU:,Outros > Erro de chamado,,,
4420,Bomba d'água com problemas,Hidrossanitária > Hidráulica,,,
4442,Equipamento dando choque,Elétrica > Instalações elétricas,,,
4449,Instalação de ar condicionado,Climatização > Ar condicionado,,,
4450,Resto de obra,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
4451,Instalação de filtro de água (bebedouro),Hidrossanitária > Hidráulica,,,
4452,LOCALIZAÇÃO: Centro de Formação Agroecológica (CEPLAC)  SOLICITAÇÃO: i,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
4486,Obras no campus Sosígenes Costa,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
4487,Reformas campus Sosígenes Costa,Projetos e Reformas > Reforma,,,
4527,Solicito por gentileza a instalação de duas persianas na sala de reuni,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4604,Instalação de TV em parede de sala de aula.,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
4606,Tombo do CPU: Umas das lâmpadas da sala 2 apresentou problemas. Deu cu,Elétrica > Iluminação,,,
4614,Instalação de ponto elétrico,Elétrica > Instalações elétricas,,,
4650,Solicito a instalação de ponto de rede em um local onde não temos nenh,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
4657,Solicitações de serviço de manutenção,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
4687,Solicito a instalação de um aparelho ar condicionado na sala onde irá,Climatização > Ar condicionado,,,
4688,Solicito a conclusão da instalação do tubo de retorno da água do ar co,Climatização > Ar condicionado,,,
4689,Solicito a perfuração com serra-copo de 8 armários baixos para salas d,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
4742,Tombo do CPU:  Solicito instalação de 4 pontos de energia e 4 pontos d,Elétrica > Instalações elétricas,,,
4743,Problema no Ar condicionado da sala dos Servidores.,Climatização > Ar condicionado,,,
4763,Troca de lâmpadas na sala,Elétrica > Iluminação,,,
4790,"Prezados,  Solicito a instalação de dois pontos de rede em cada sala d",TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
4791,"Prezados,  Solicito adequação da área destinada ao estacionamento dos",Outros > Erro de chamado,,,
4830,manutenção tomadas localizadas no piso,Elétrica > Instalações elétricas,,,
4834,Solicito a verificação e troca de lâmpadas do CUNI Ilhéus.,Elétrica > Iluminação,,,
4835,Solicito a mudança de lugar da porta de fórmica do Mezanino 1 - Sala d,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4837,Solicito a avaliação da cobertura da entrada do Pavilhão de aulas que,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
4858,Fornecimento e instalação de placas de forro mineral,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
4890,Instalação de câmeras,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
4927,Solicito a troca do da tomada da TV (Conector Macho).,Elétrica > Instalações elétricas,,,
4940,ar condicionado não liga,Climatização > Ar condicionado,,,
4955,"Solicito a vistoria do teto da sala 08 do pavilhão, pois a mesma está",Estrutura Predial > Forro,,,
4956,Solicito a retirada dos materiais que estão sendo guardados na Sala 08,"Suprimentos / Apoio Técnico > Limpeza de equipamentos, ambiente e mobiliário",,,
4960,Solicito manutenção da descarga do sanitário feminino que não está enc,Hidrossanitária > Hidráulica,,,
4961,Solicito a mudança de uma torneira que fica localizada ao lado do pavi,Hidrossanitária > Hidráulica,,,
4981,Solicito manutenção na calha de luz do fundo do sanitário feminino do,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
