Solicito serviço de solda do portão do campo de futebol que rompeu.
"A cobertura do almoxarifado de reagentes apresenta alguns pontos de vazamentos. sugiro os seguintes serviços:

Aplicação de manta nas juntas das telhas metálicas;
Limpeza da cobertura;
Ampliação dos furos existentes no perfil utilizado como dreno e abertura de pelo menos mais 2 pontos;
Substituição das placas de revestimento interno danificadas."
Solicito Limpeza química dos trocadores de calor do ar condicionado central do Campus Sosígenes Costa
Soliito placa de identificação do decanato do centro de formação em ciências da saúde.
"Segue a arte da placa conforme solicitados
Att"
"Boa Tarde!

Banheiros no pórtico com lampadas queimadas, por favor verificar."
"Prezados/as
Dinfra/manutenção predial
UFSB
Em decorrência do período de mudança para a nova sede do CJA, considerando a necessidade de dar continuidade aos processos de perícias de modo adequado, solicitamos aplicação de insufilm nas janelas da sala da Assessoria de Sustentabilidade (3º andar Reitoria, em frente ao elevador) para que as perícias possam ocorrer na respectiva sala.
Solicitamos urgência.
Respeitosamente,"
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Prezado,

Informo que há um infiltração de água na laje da sala dos conselhos da reitoria da UFSB.

Fotos em anexo.

Att.,"
"Solicito reparo em calha do laha que cedeu. Serão necessários os seguintes materiais:
01 calha tigre
04 emenda
11 borrachas"
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Prezados, bom dia!

Após contato telefônico com o Fagner, fui orientado a abrir este chamado solicitando que a cabine de biossegurança localizada no laboratório interdisciplinar 2 seja embalada para transporte rodoviário até o interior de SP onde será instalada uma válvula de gás. O referido equipamento foi entregue embalado em uma estrutura de madeira que se perdeu após a entrega. Tal estrutura reforçada se faz necessária devido à fragilidade do equipamento e pela distância a ser percorrida.
Solicito urgência no atendimento, uma vez que o equipamento pode ser retirado a qualquer momento pela transportadora.
Estou à disposição para quaisquer esclarecimentos.
Cordialmente,

Thiago Mafra"
"Bom dia!

Bebedouro na varanda oeste com vazamento, por favor verificar."
"1 Ponto de rede ao lado do ponto CE169

1 ponto de rede próximo ao CE 157"
"Prezado,

Solicito reparo na porta interna que dá acesso à Coordenação de Projetos."
"Boa Tarde!

Na sala de apoio dos vigilantes no pavilhão de convenções precisa ser trocada tomada de energia"
