DESCRIÇÃO GLPI
"Descrição - Prezados(as),

Nós colocamos alguns equipamentos e estamos monitorando diariamente os colégios universitarios, portanto gostaríamos de solicitar uma revisão na rede elétrica dos CUNIs de ITabuna. O motivo na verdade dessa revisão é criar uma independência de circuito do colégio com as salas cedidas para UFSB . O motivo dessa solicitação é que quando o colégio desliga o disjuntor, as salas de aulas da UFSB também ficam sem energia.

Solução - Prezado Ricardo,

Em visita aos locais citados verificamos que os circuitos já estão individualizados, no entanto observamos que os desligamentos ocorrem por diversas causas e não necessariamente em todos os locais:

- IBICARAÍ: fizemos contato com a Diretora e fomos informados de que as faltas de energia por parte da COELBA são constantes e diárias, e acontecem ha muito tempo atrás. A própria Direção da escola já entrou em contato com a a SEC/SAEB e COELBA para tentarem resolver este problema. Também solicitamos que a mesma passasse a orientação para que a vigilância não faça o desligamento deste pavilhão onde se encontra o CUNI;

- ITABUNA: também Também solicitamos que a Direção passe a orientação para que a vigilância não faça o desligamento, bem como solicitamos que a empresa Potencial faça a identificação dos circuitos no quadro;

Nos demais CUNI´s ainda estamos verificando.

Orientamos que a própria PROTIC e a Assistente Operacional do CUNI seja responsável por verificar se toda a Iluminação das salas e corredor estejam apagadas após o término das atividades, evitando que a vigilância o faça e inapropriadamente desligue todos os circuitos.

João Ramos"
Solicito a troca das lâmpadas queimadas do corredor das salas do CUNI de Santa Cruz Cabrália. Foi sinalizado pelo Assistente operacional essa necessidade.
"Gostaria de solicitar a instalação de mais 02 nobreacks de 6KVa na sala dos servidores, os mesmo encontram-se no local."
"com frequência o aparelho da Secretaria Executiva apresenta os seguintes problemas:

1 - funcionamento interrompido, apresentando a mensagem ""EC"" no display;
2- derramamento de água ao ligá-lo pela manhã;
3 - filtro com poeira."
"A sala do CUNI em Ilhéus tem sofrido constantes quedas de energia. Conforme orientação de Ricardo Ornelas, solicitamos à DINFRA a verificação da situação."
Uma das persinas da Secretaria Executiva caiu.
"Favor providenciar os Serviços de Manutenção da Rede Elétrica e Colocação de Lâmpadas nos Depósitos do Setor de Patrimônio da UFSB Itabuna.

Atte,

Emerson"
Necessidade de instalação de tomada para microondas nas sala da Diretora da DGP.
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

Senhores(as), bom dia !

Por favor, solicito a instalação de 01 quadro de avisos suspenso e fixado ao teto, conforme padrão adotado pela DINFRA. Tal quadro deverá ser instalado na sala da Coordenação Geral do CJA.

Grato,

Emerson Belém"
"Solicito individualização do interruptor de energia, pois as salas foram divididas e só tem um interruptor de luz para ambas."
A luz da sala está com mau contato.
Condicionador de ar não liga.
Troca de reatores
Troca de reator
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias."
"Verificar e identificar problemas nos 4 aparelhos de ar condicionado da Coleção Micológica do CEPEC, que terá curadoria associada do Prof. Alexandre, em virtude de risco de perda dos produtos lá conservados. Realizar algum reparo que não implique em compra de peças ou equipamentos."
"Bom dia.
Solicito instalação de eletroduto na sala dos servidores para organização de cabeamento de rede, conforme conversa pessoalmente. O eletroduto será instalado em apenas uma parede em trecho a partir da calha em direção ao chão.
Obrigado."
"Bom dia.
Solicito a instalação de duas lâmpadas de emergência na sala dos servidores para que seja possível manusear equipamentos e materiais em casos de falta de energia.
Obrigado."
"Boa tarde, gostaria de uma manutenção URGENTE da porta de entrada do setor da PROTIC"
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Queda de energia a noite, segunda e terça durante mais ou menos 10min."
A fechadura da porta principal da PROTIC está apresentando problema. A porta não está ficando fechada.
INSTALAR/RELOCAR PONTO DE ELÉTRICA E LÓGICA - MUDANÇA DE LAYOUT MESA ASSESSOR
"O ar condicionado aqui da antiga sala da procuradoria, está fazendo um barulho imenso que está incomodando as pessoas que trabalham na sala, além disso ele fica desligando sozinho. Por favor tomar uma providência. Obrigada."
Consertar a luminária do banheiro ao lado das salas de aula
Reator em uma das luminárias na sala antiga da coordenação do campus explodiu.
Reator da PROGEAC explodiu.
Reator explodiu na Acessória de Avaliação (Antiga coordenação do campus)
"PROBLEMA NA LINHA TELEFÔNICA, TELEFONE MUDO."
Estamos com o problema em um dos nossos nobreacks que se encontra na sala dos servidores.
"Um conjunto de lâmpadas, da antessala do reitor, está queimado."
"Salas com reatores queimados ou luminárias defeituosas:

IHAC - sala de chegada
Banheiro das salas de aula
Banheiro Masculino da PROPA
Banheiro Feminino da PROPA
Diretora do DGP
Copa da Reitoria
Procuradoria
Ex Coordenação do Campus
Secretaria do Gabinete
Reitor
Sala 3
PROGEAC
CUNI Itabuna - 3

As salas de aula e a sala do Diretor da PROSIS não foram verificadas por que estavam trancadas."
Aparelhos de ar-condicionado defeituosos na sala da diretoria e da coordenação
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
03 Lampadas da sala 02 do Cuni Itabuna não ascendem."
"De ordem do professor José Newton, solicitamos troca do aparelho de ar condicionado (maior)da Assessoria Internacional para um aparelho menor (que pode ser o aparelho da secretaria executiva). Esclarecemos que os aparelhos ""parecem"" desproporcionais para os tamanhos das salas de forma que não cumprem sua função eficazmente. Núbia Lima"
"De ordem do professor José Newton, solicitamos instalação de uma porta que separe sua sala da sala de sua secretária. Núbia Lima"
Remoção e reinstalação de aparelho de ar condicionado na sala 6 do CJA.
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

Foram adquiridos quadros de aviso para atender as demandas da universidade.
11 para o Campus de Itabuna;
07 para o Campus de Porto Seguro; e
07 para o Campus de Teixeira de Freitas.

Dos 11 de Itabuna, 02 foram destinados para Camila Calhau (PROSSIS) para ser usado na área de saúde.

Solicito que sejam definidos os locais adequados para instalação destes murais e que seja dada a ordem de serviços para a empresa de manutenção predial instalá-los."
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias."
SOLICITAÇÃO DE INSTALAÇÃO DE GRUPO GERADOR(LOCAÇÃO) DE 180KVA PARA ATENDER AO GALPÃO DE AULAS DO CAMPUS JORGE AMADO
REPARO EM DUAS LUMINÁRIAS 2X32 NO CORREDOR ACESSO IHAC/PROGEAC/DINFRA
"Instalar o ventilador no cuni de Coaraci que está desde o dia 15 de fervereiro.

Agradeço a atenção."
"- Instalação do ventilador ( ventilador já está no cuni desde dezembro/2015)
- Instalação do bebedouro
- Substituição quadro negro
- Instalação de Tomadas"
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

/////Instalar ponto de energia/////"
"Equipamento da sala 9 não liga.
Equipamento da sala 10 com ruído excessivo na ventilação."
Informo que o aparelho de ar condicionado da sala dos professores (Mezanino 01 - Pavilhão de aulas) não está gelando. Informei diretamente ao técnico que cuida desta parte e ele me solicitou que abrisse um chamado para a DINFRA.
Ar condicionado sem ligar.
""
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Nós da PROSIS desejamos LAYOUL para adequação de nova funcionária com instalação de ponto elétrico e lógica."
"SOLICITAMOS MANUTENÇÃO NA FECHADURA DA PORTA 04 DO PAVILHÃO DE AULAS DA UFSB.
E OS PROFESSORES SOLICITAÇÃO AS CHAVES DO MEZANINO DO FUNDO."
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Conserto do ar condicionado da sala 01. Não gela, compressor não aciona."
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Retirar da sala da antiga PROTIC e instalar na sala nova PROTIC (SALA 1)."
"A COORDENAÇÃO DE CAMPUS ESTÁ RECEBENDO ALGUMAS RECLAMAÇÕES QUANTO AO ACESSO DO PAVILHÃO DE AULAS AO ESTÚDIO DA ASSESSORIA DE RELAÇÕES INTERNACIONAIS. Existe um desnível que está causando alguns acidentes. Alunos , professores e técnicos já foram vítimas , em algum momento, tropeçando no desnível da rampa de acesso.
Aguardamos retorno."
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Favor instalar provisoriamente um ventilador de parede na da protic, antiga sala de aula 01 predio reitoria."
Solicito o reparo da iluminação do estacionamento da Reitoria.
Solicito o reparo da iluminação do sanitário feminino do Pav. de Aulas.
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Solicito a instalação do ar-condicionado na novo sala da PROTIC.
Correção nova sala."
Solicito instalação de uma tomada de 20 AMP para o microondas localizado na sala da Pró-Reitoria da PROTIC.
"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

Ola rapaziada da DINFRA, Como assumimos a uma nova sala da ACS Nomeada CRIAÇÃO.
Venho por meio desse Chamado pedir, a Instalação de dois pontos de eletricidade, mais conhecida como TOMADAS.

A sala esta localizada ao lado da porta de entrada da reitoria!

Pedido com uma certa urgência sendo que 3 integrantes da ACS ocuparam a Sala."
Tombo do CPU: 947879 - Bebedouro- água imprópria para o consumo.Com cheiro e gosto.
Readequação dos pontos de elétrica e lógica da DIRPLAN e DIRAD.
Luminária defeituosa na sala de Jorge da PROTIC
